"name","description","municipal","investor","cost","start","end","x","y"
"Строительство предприятия по розливу минеральной и питьевой воды","","с. Енисейское, Бийский район","ООО &quot;Сибирский Ресурс&quot;",73,"2013","",9521448.48385101,6908837.2707772
"Строительство производственного комплекса для производства кормов, химикатов, биотоплива и пищевых добавок","Производство 208 тыс. тонн (и более) кормов; 106 тыс.тонн топливных добавок","Город Славгород, Город Славгород","ООО &quot;Аванкор&quot;/компания ASC",35,"2014","",8755662.50407191,6983454.63162364
"Строительство полиметаллических рудников","Освоение месторождений полиметаллических руд, строительство и восстановление рудников, строительство обогатительной фабрики","с. Таловка, с. Карамышево, поселок Черепановский, Змеиногорский район","ОАО &quot;Сибирьполиметаллы&quot;",11891,"2004","2019",9123424.97660271,6697221.38027093
"Завод по выпуску ДСП","Земельный участок в долгосрочной аренде. Построена подготовительная площадка, начато строительство железнодорожного тупика. Приобретены стройматериалы, произведен частичный монтаж оборудования. Проложены коммуникации: газ, водопровод, канализация. Введен в эксплуатацию 3-х секционный жилой дом. Введены объекты газоснабжения, котельная.","п. Сибирский, Первомайский район","ИП Алимов М.С.",630,"","",9325513.26699391,7089873.53366126
"Производственная база","Проект реализуется, произведена модернизация камеры шоковой заморозки, приобретено оборудование ","пос. Заря, Город Бийск","ООО СХП &quot;Заря&quot;",100,"","",9481094.83447997,6909180.90514764
"Завод по переработке семян подсолнечника","Производство подсолнечного масла (без упаковки)",", Кулундинский район","ООО «Кулундинский маслозавод»",100,"","",8787458.41192847,6903218.96481657
"Строительство гречзавода и элеватора","Завод введен в эксплуатацию, завершаются отделочные работы и благоустройство","с.Новороманово, Калманский район","«Калманский комбинат хлебопродуктов»",222,"","",9281112.82017407,6997756.4860637
"Строительство цеха по производству растительного масла","Расширение объемов выпуска подсолнечного масла (имеется действующее производство в г. Барнауле)","с. Боровиха, Первомайский район","ООО &quot;Вема-маркет&quot;",50,"","",9332409.28680957,7076289.34544429
"Завод по производству твердых лекарственных форм","Строительство завода по производству твердых лекарственных форм со складом готовой продукции в составе фармацевтического комплекса","г. Бийск, Город Бийск","ЗАО «Эвалар»",3843,"2013","2031",9477950.8381015,6889596.69331934
"Строительство цеха рафинации растительных масел","Строительство цеха рафинации растительных масел","г. Барнаул, Город Барнаул","Барнаульский ТПП ООО &quot;Юг Сибири&quot;",476,"","",9304321.70949007,7038245.46317822
"Модернизация оборудования по переработке молока","Расширение мощностей и модернизация процесса первичной обработки молока и производства сыра","г. Барнаул, Город Барнаул","«Барнаульский молочный комбинат»",750,"","",9313553.21222257,7054784.98601005
"Строительство газовой котельной","","г. Барнаул, Город Барнаул","ОАО ПО «Алтайский шинный комбинат»",713,"","",9318028.70103043,7055083.44075575
"Разработка конструкции и технологии производства топливной аппаратуры для дизельных двигателей внутреннего сгорания","Разработка конструкции и технологии производства импортозамещающей топливной аппаратуры для дизельных двигателей внутреннего сгорания уровня ЕURO-5 и выше с применением перспективных разработок в области нанотехнологий и мехатроники.","г. Барнаул, Город Барнаул","ООО Управляющая компания &quot;Алтайский завод прецизионных изделий&quot;",600,"","",9321632.78086435,7055209.99343199
"Производство крупяных изделий","В середине 2018 ожидается запуск производства ","с. Косиха, Косихинский район","ООО «Восток-2»",100,"","",9415404.98032388,7050284.51273751
"Открытие нового производства хлебобулочных изделий","Открытие нового производства хлебобулочных изделий","г. Алейск, Город Алейск","ООО «Алейский хлебокомбинат-1»",70,"2011","2018",9215661.74632573,6889968.57691259
"Увеличение производственной мощности по переработке свеклы","Увеличение производственной мощности по переработке сахарной свеклы с 5500 до 5700 тонн в сутки","с. Черёмное, Павловский район","ОАО «Черемновский сахарный завод»",132,"","2018",9262367.50848041,7013005.0807376
"Реконструкция цеха по производству хлористого натрия","Приобретены насосы, компрессор, оборудование для гранулирования, аппарат выпарной с перемешивающим устройством, реактор-осадитель, емкость нейтрализации, произведен ремонт котлоагрегата парового.","р.п. Малиновое Озеро, Михайловский район","ООО «Михайловский завод химических реактивов»",96,"","",8882222.022773,6741322.85193656
"Модернизация производства на предприятии &quot;Алтай-Кокс&quot;","Модернизация производства, направленная на поддержание конкурентоспособности","Заринск, Город Заринск","ОАО «Алтай-Кокс»",684,"","2019",9462123.09894204,7108010.48893915
"Строительство кожевенного завода","Создание завода по переработке шкур КРС, свиней, овец, коз для производства кожевенных материалов","г. Заринск, Город Заринск","Группа компаний «Русская кожа»",1608,"","2018",9455361.33043227,7115138.26915071
"Увеличение объемов производства фанеры","Расширение производственной мощностью с целью увеличения объема выпуска фанеры","г. Заринск, Город Заринск","ООО &quot;Сибирский фанерный комбинат&quot; ",132,"","2018-2019",9454597.01080848,7116594.09113794
"Строительство второй очереди элеваторного модуля","Проект завершен в 2017 году","с. Верх-Суетка, Суетский район","ООО «КДВ Агро-Алтай»",490,"","",8911236.44617285,7039282.9962207
"Строительство мельницы","Строительство мельницы по переработке зерна пшеницы","с. Табуны, Табунский район","ЗАО «Табунский элеватор»",401,"2017","2018",8770092.01476726,6940939.54564777
"Строительство зерноочистительного комплекса","","с. Налобиха, Косихинский район","КФХ Горлов С.В.",147,"","",9417574.70851893,7019966.28915307
"Строительство второй очереди производственного комплекса по розливу питьевой воды","Строительство второй очереди производственного комплекса по розливу питьевой воды. ","г. Барнаул, Город Барнаул","ООО &quot;Барнаульская водяная компания&quot;",59,"","",9317184.12005378,7053478.56183472
