"name","description","municipal","type","cost"
"Освоение Аришинского медно-магнетитового месторождения","2,5 км южнее. Ближайшаяж/д станция Могзон–160 км, доа/д Улан-Удэ–Багдарин–30км. Производительность ГОК 4,5 млн т руды; годовой выпуск концентратов: железного– 123 тыс.т, медного–34,8 тыс.т. Содержание меди в медном концентрате–20%, железа в железном–58%.","Еравнинский район","Минерально-сырье","На дату проведения расчета (24.11.2011 г.) - 3 415 млн. руб. "
"Освоение Гундуйского медно-баритового месторождения","Месторождение находится в 4 км южнее Озерного месторождения. Запасы категории С2: руда–12757 тыс.т; медь 74,9 тыс.т., при среднем содержании 0,59%; барит - 4147 тыс. т при среднем содержании 32,5%. Способ отработки – открытый.","Еравнинский район","Минерально-сырье","На дату проведения расчета (24.11.2011 г.) 1080 млн. руб."
"Освоение Гурвунурского и Северо-Гурвунурского железорудных местрождений","Гурвунурское железорудное месторождение находится на водоразделе реки Зазы и Еравнинских озер в 30 км к северо-западу от пос. Гунда на водоразделе р. Зазы и Еравнинских озер. В 2,5 км западнее месторождения Озерное. ","Еравнинский район","Минерально-сырье","На дату проведения расчета (24.11.2011 г.) -       3 050 млн. руб."
"Освоение Дабхарского флюоритового месторождения","Дабхарское флюоритовое месторождение находится в Еравнинском районе Республики Бурятия в 24 км от с. Комсомольское и в 18 км северо-западнее Эгитинского месторождения. Месторождение может быть отработано открытым способом.","Еравнинский район","Минерально-сырье","213 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Октябрьского железомарганцевого месторождения"," Месторождение расположено в 1,5 км к северо-востоку от Озерного месторождения. Расстояние до ж/д станции Могзон – 160 км, автодороги Улан-Удэ – Багдарин – 30 км. Вдоль этой автодороги проходит ЛЭП-110 кВ.","Еравнинский район","Минерально-сырье","1 106 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Осеннего месторождения плавикового шпата","Месторождение расположено в 110 км к востоку от райцентра – пос. Кижинга. ЛЭП 110 кВ проходит в 38 км северо-западнее месторождения. До месторождения имеется лесная дорога. ","Кижингинский район","Минерально-сырье","700 млн. руб."
"Освоение железнорудного месторождения Солонго","Месторождение может быть отработано открытым способом. При годовой производительности 3,0 млн т руды, может быть обеспечен годовой выпуск концентратов: железного (68% Fe) – 1585 тыс. т, цинкового (23% Zn) – 16,6 тыс. т, борного (57% В2О3) – 35,6 тыс. т.","Еравнинский район","Минерально-сырье","Борные руды подсчитаны при бортовом содерж. В2О3 – 1,0%. Запасы руды составляют – 6,6 млн т при ср. содерж. В2О3 – 6,28%, в том числе богатых руд – 1,0 млн т при среднем содержании В2О3 – 15,91%.  9 450 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение железнорудного месторождения Соухусан","В 35 км к юго-западу от месторождения вдоль дороги Сосново-Озерск – Беклемишево (Забайкальский край) проходит ЛЭП 110 кВ. До месторождения имеется лесная дорога.  Магнетитовые руды месторождения планируется отрабатывать открытым способом.","Еравнинский район","Минерально-сырье","3 480 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Туркульского медно-баритового месторождения","Месторождение расположено в 7 км юго-западнее Озерного месторождения, в 30 км к северу от автодороги Улан-Удэ – Чита, вдоль которой проходит ЛЭП-110 Улан-Удэ – Багдарин.","Еравнинский район","Минерально-сырье","2160 млн.руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Ульзутуйского колчеданно-полиметаллического месторождения"," Расположено в 12 км к северо-востоку от Озерного месторождения в 30 км к северу от автодороги Улан-Удэ – Чита, вдоль которой проходит ЛЭП-110 кВ (Улан-Удэ – Багдарин). Отработка открытым способом при максимальной глубине карьера 120 м","Еравнинский район","Минерально-сырье"," 450 млн. руб. На дату проведения расчета (24.11.2011 г.)"
