"name","cost_mln","x","y","categoryId","categoryName","start","end","crs"
"Строительство завода по производству высококачественного гранулированного чугуна",26.1,103.61471817308,52.759220606458,60,"Металлургическое производство и производство готовых металлических изделий ","01.01.2019","31.12.2023","EPSG:4326"
"Строительство мини завода по производству стальной арматуры",123.8,103.62089798265,52.760053718541,60,"Металлургическое производство и производство готовых металлических изделий ","01.01.2019","31.12.2021","EPSG:4326"
"Создание производства кабельно-проводниковой продукции и изделий из ПВХ",53.5,103.62227127367,52.757970908305,60,"Металлургическое производство и производство готовых металлических изделий ","01.01.2018","31.12.2026","EPSG:4326"
"Модернизация газоочистной установки РТП-1,2",127.9,104.07674629395,52.19677630952,49,"Инженерная инфраструктура и экология","01.01.2013","31.12.2018","EPSG:4326"
"Увеличение объемов и повышение качества производства литейных сплавов в ЛО3",513.5,104.07949287598,52.207365889739,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2016","31.12.2017","EPSG:4326"
"Строительство  логистического центра",1970,104.07811958496,52.217868581521,52,"Транспортный комплекс","01.01.2014","31.12.2020","EPSG:4326"
"Строительство логистического центра",1509.3,104.0465338916,52.206901856462,52,"Транспортный комплекс","01.01.2012","31.12.2020","EPSG:4326"
"Разработка участка по добыче золота на участке &quot;Зэгэн-Гольское рудное поле&quot;",175.9,103.09542429346,53.152171716641,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2015","31.12.2018","EPSG:4326"
"Разработка участка по добыче каменного угля  &quot;Герасимовская площадь&quot;",141.4,103.08134806055,53.114592796444,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2015","31.12.2018","EPSG:4326"
"Строительство завода по утилизации техногенных отходов угольной промышленности",170.3,103.18022501367,53.157537460101,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2014","31.12.2016","EPSG:4326"
"Разработка участка по добыче каменного угля «Ныгдинская площадь&quot;",21.5,103.06486856836,53.122028609765,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2014","31.12.2016","EPSG:4326"
"Строительство Тайшетского алюминевого завода",81870.6,97.830743182617,55.112924854546,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2007","31.12.2020","EPSG:4326"
"Строительство магистрального нефтепровода &quot;Куюмба-Тайшет&quot;",4766.3,97.814950335938,55.130160808184,48,"Нефтегазовый комплекс (включая добычу, переработку и трубопроводный транспорт)","01.01.2013","31.12.2023","EPSG:4326"
"Строительство Тайшетской Анодной фабрики",43358,97.838982928711,55.1097759292,46,"Добыча и переработка полезных ископаемых (включая уголь, черную и цветную металлургию)","01.01.2011","31.12.2022","EPSG:4326"
