"name","type","cost","description","address","production","start","end"
"Дробильно-сортировочный комплекс по производству сиенитов","Добыча полезных ископаемых","743","Строительство дробильно-сортировочного комплекса по производству сиенитов","п. Шалым","Получение глинозема – основного вида небокситового сырья для алюминиевой промышленности. Попутно при переработке сиенитов получают соду, цемент и удобрения для кислых почв.","2014","2016"
"Переработка твердых бытовых отходов","Предоставление прочих коммунальных, социальных и персональных услуг","6","Инициатором проекта является ООО «Белсах», осуществляющий деятельность по санитарной очистке территории города.  \r\nЦелью реализации  проекта является создание комплекса по переработке отходов производства и потребления, что позволит снизить техногенную нагрузку на окружающую среду на территории города Белово и Беловского района, минимизировать складирование ТБО на полигонах и обеспечит максимальную его переработку. \r\nООО «Белсах» имеет в долгосрочной аренде полигон для захоронения твердых бытовых отходов, что является оптимальным вариантом для организации цеха по переработке отходов на данном земельном участке.\r\nДля реализации проекта необходимо строительство  промплощадки и ангара, состоящий  из административно-бытового помещения, склада хранения вторичного сырья, склада хранения готовой продукции, площадки для разгрузки ТБО (планируемые расходы составят 2,5 млн.рублей), приобретение оборудования по переработке ТБО производительностью 240 тыс.м3 ТБО в год.\r\nЧастичная окупаемость проекта – 1-й год с момента начала финансирования проекта, полная окупаемость проекта – 2 года с момента запуска производства.\r\nТехнологическое описание проекта: приобретение оборудования для оснащения цеха по переработке твердых бытовых отходов для их дальнейшего использования в качестве вторичного сырья.","","","2014","2017"
"Развитие туристического комплекса ""Шерегеш""  сектор ""Е""","Создание инфраструктуры","1542","Будет освоена новая территория площадью 1071,2 га на южном склоне горы Зеленая (сектор Е), на которой будут построены объекты спортивно-туристического назначения (предполагается строительство 47 гостиниц, 10 подъемников), а также соответствующих объектов культуры и отдыха. ","Таштагольский район, пгт.Шерегеш, гора Зеленая","Объекты спортивно-туристического назначения и инфраструктуры","2014","2016"
"Строительство торгового центра в с. Вишневка","Розничная торговля","10","Инвестиционный проект «Строительство торгового центра в с. Вишневка» предполагает строительство торгового центра (магазин продовольственных и хозяйственных товаров, кафе, аптечный пункт).","с. Вишневка, Беловский район, Кемеровская область","магазин продовольственных и хозяйственных товаров, кафе, аптечный пункт","2014","2019"
"Отработка запасов участка открытых горных работ ""Караканский - Западный""   ","Добыча полезных ископаемых","13038","Обеспечение новыми рабочими местами, повышение благосостояния населения.","Беловский район, Кемеровская область","Каменный уголь марки ""Д""","2014","2019"
"Строительство раздельного пункта Улус ОАО «РЖД» на 247-249 км перегона Белово-Бочаты","Транспорт и связь","700","Присоединение  пути  необщего  пользования  ЗАО «Шахта Беловская» раздельного  пункта  Улус  ОАО  «РЖД»  на  247-249  км  перегона  Белово-Бочаты  Западно - Сибирской  железной  дороги  -  филиала ОАО «РЖД»  к  инфраструктуре общего  пользования ОАО  «РЖД» . На р.п. Улус в соответствии с заданием, техническими условиями ОАО «РЖД» запроектировано два приемо-отправочных пути полезной длиной 1500 м по поперечной схеме. Род тяги – электрическая. Весовая норма: груженных поездов – 7000т;  порожних поездов – 2200т.","с. Каракан, Беловский р-он, Кемеровская обл.","Перевозка угля","2014","2019"
"Строительство путей необщего пользования ЗАО ""Шахта Беловская""","Транспорт и связь","2689","По настоящему проекту предусматривается строительство подъездного пути на участке протяженностью 32,6 км, с укладкой пути рельсами Р-65. Род тяги - электрическая. Весовая норма: груженныйх поездов - 7000 т, порожних поездов - 2200 т. Полезная длина приемо-отправочных путей - 1500 м. На проектируемом пути предстоит построить 11 водопропускных труб, 3 железобетонных моста и 2 железнодорожных путепровода. ЦЕЛЬ проекта- исключение автомобильных перевозок угля на ж/д станцию ""Мереть"" по дорогам общего пользования.","Беловский район, Кемеровская область","Перевозка угля","2014","2019"
"Строительство и отработка запасов участка «Полысаевский» подземным способом  ","Добыча полезных ископаемых","7512","Выполнен институтом ОАО «УК «Кузбассразрезуголь» в 2008 году. Теплотворная способность угля по бомбе 7750-7850 ккал/кг, низшая 6370-6500 ккал/кг. Горной массы 5900-6000 ккал/кг. Зольность угольных пачек изменяется от 3,2 до 15,0 %. Зольность пластовая 8,6%, добываемой горной массы 11,33%.","Беловский район, Кемеровская область","Энергетический уголь марки ДГ ","2014","2019"
"Техническое перевооружение машинотракторного парка КФХ «Копотев»","Сельское хозяйство, охота и лесное хозяйство","6","Инвестиционный проект «Техническое перевооружение машинотракторного парка КФХ «Копотев» предполагает приобретение нового трактора. Старая техника устарела, затраты на содержание высокие.","Беловский район Кемеровская область","Производство зерновых и кормовых культур. Выполнение полевых работ подготовка почвы, посев.","2014","2019"
"Техническое перевооружение машинотракторного парка ИП Шурбин В.Н.","Сельское хозяйство, охота и лесное хозяйство","6","Инвестиционный проект «Техническое перевооружение машинотракторного парка  предполагает приобретение нового трактора. Трактор предназначен для выполнения полевых работ класс тяги 5 т.с. ","Кемеровская область, г.Белово, пгт. Инской, ул. Дунаевского, 7","Производство зерновых и кормовых культур. Выполнение полевых работ подготовка почвы, посев.","2014","2019"
"Организация производства глазных лечебных ионообменных линз","Производство медицинских изделий","72","Проект  направлен на разработку и организацию производства глазных лечебных ионо-обменных линз для лечения химических и термических ожогов, механических травм, инфек-ционных и других заболеваний глаз. \r\nГлазная лечебная ионообменная линза (ГЛИЛ) – средство оказания полноценной доврачебной помощи при ожогах и травмах глаз и средство эффективного лечения ожо-говых и инфекционных заболеваний глаз. \r\nГЛИЛ способны без дополнительных травмирующих процедур быстро и полно извлечь обжигающие вещества с поверхности и полости глаза и предотвратить развитие сопутствующих воспалительных процессов. Кроме того, такие линзы могут служить сте-рильной повязкой при механических травмах глаз, так как активные группы ионитов свя-зывают не только агрессивные химические вещества, но и различные патогенные соеди-нения – токсины, вирусы, бактериальные клетки. Применение сорбционных линз необ-ходимо на весь период ожоговой болезни, в первую очередь для снятия интоксикаций. В ранние сроки ожога это экзогенная интоксикация, обусловленная воздействием химиче-ского агента на ткани глаза. В более поздние сроки ожогового повреждения эндогенная интоксикация, вызванная лизисом клеточных белков, распадом клеток, выделением вы-соких концентраций биогенных аминов, простагландинов, полипептидов, недоокислен-ных продуктов обмена веществ. Оказание эффективной и своевременной помощи при ожогах глаз, снятие интоксикаций в процессе лечения уменьшит глубину и тяжесть по-вреждений, ускорит выздоровление, позволит снизить процент инвалидности.\r\nРазработанная технология изготовления ГЛИЛ позволяет организовать практически безотходное производство, при этом экономится сырье, снижается себестоимость продукции и негативное влияние на окружающую среду.\r\n","г.Кемерово, ул. Красная 6, каб.1507","Глазная лечебная ионообменная линза (ГЛИЛ)","2015","2019"
