"name","description","municipal","start","type","cost_mln","x","y","crs"
"Дробильно-сортировочный комплекс по производству сиенитов","Строительство дробильно-сортировочного комплекса по производству сиенитов","п. Шалым","","Добыча полезных ископаемых",921,52.86104651594112,87.9417385160923,""
"Строительство овощехранилища","Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала и инулина","","","Строительство",150,55.86914706303444,85.41827201843262,""
"Отработка запасов участка открытых горных работ ""Караканский - Западный""   ","Обеспечение новыми рабочими местами, повышение благосостояния населения.","Беловский район, Кемеровская область","","Добыча полезных ископаемых",13038,54.36555832085595,86.74650728702545,""
"Строительство раздельного пункта Улус ОАО «РЖД» на 247-249 км перегона Белово-Бочаты","Присоединение  пути  необщего  пользования  ЗАО «Шахта Беловская» раздельного  пункта  Улус  ОАО  «РЖД»  на  247-249  км  перегона  Белово-Бочаты  Западно - Сибирской  железной  дороги  -  филиала ОАО «РЖД»  к  инфраструктуре общего  пользования ОАО  «РЖД» . На р.п. Улус в соответствии с заданием, техническими условиями ОАО «РЖД» запроектировано два приемо-отправочных пути полезной длиной 1500 м по поперечной схеме. Род тяги – электрическая. Весовая норма: груженных поездов – 7000т;  порожних поездов – 2200т.","с. Каракан, Беловский р-он, Кемеровская обл.","","Транспорт и связь",700,54.366358408389104,86.7489105463028,""
"Строительство путей необщего пользования ЗАО ""Шахта Беловская""","По настоящему проекту предусматривается строительство подъездного пути на участке протяженностью 32,6 км, с укладкой пути рельсами Р-65. Род тяги - электрическая. Весовая норма: груженныйх поездов - 7000 т, порожних поездов - 2200 т. Полезная длина приемо-отправочных путей - 1500 м. На проектируемом пути предстоит построить 11 водопропускных труб, 3 железобетонных моста и 2 железнодорожных путепровода. ЦЕЛЬ проекта- исключение автомобильных перевозок угля на ж/д станцию ""Мереть"" по дорогам общего пользования.","Беловский район, Кемеровская область","","Транспорт и связь",2689,54.36515827124457,86.75062716007233,""
"Строительство и отработка запасов участка «Полысаевский» подземным способом  ","Выполнен институтом ОАО «УК «Кузбассразрезуголь» в 2008 году. Теплотворная способность угля по бомбе 7750-7850 ккал/кг, низшая 6370-6500 ккал/кг. Горной массы 5900-6000 ккал/кг. Зольность угольных пачек изменяется от 3,2 до 15,0 %. Зольность пластовая 8,6%, добываемой горной массы 11,33%.","Беловский район, Кемеровская область","","Добыча полезных ископаемых",7512,54.57611111111112,86.38388888888889,""
"Освоение месторождения рудного золота в пределах Палатнинского золоторудно-рассыпного узла","- локализация и оценка прогнозных ресурсов  рудного золота с подсчетом запасов;
- разработка технологии обогащения с извлечением всего комплекса полезных компонентов;
- промышленное освоение месторождения","Тисульский муниципальный район, гора Палатная","","Добыча полезных ископаемых",4200,55.37911044801047,87.84646511077881,""
"Создание вагоноремонтных участков","Создание вагоно-ремонтных участков на станциях примыкания угледобывающих предприятий для организации подготовки грузовых вагонов под погрузку и текущего отцепочного ремонта грузовых вагонов. Предприятие ООО ВЭРП ""Восток"" заключило договора по открытию новых участков по ремонту вагонов на станциях Белово и Спиченково.
На станциях Линево, Мереть и Бачаты предприятие ООО ВЭРП ""Восток"" проводит договорную компанию по открытию новых участков по ремонту вагонов. Реализация инвестиционного проекта позволит:
-	оперативно производить ремонт и подготовку грузовых вагонов всех собственников, участвующих в перевозках, под погрузку;
-	сократить парк неисправных вагонов;
-	использовать отремонтированные вагоны под погрузку продукции.
В перспективе планируется открытие участков на станциях Мыски, Ерунаково, Тырган и других углесборочных станциях Юга Кузбасса.","г.Белово, п.Спиченково (Прокопьевский район, Кемеровская область)","","Транспорт и связь",20,53.86487814926191,87.20798671245575,""
"Строительство коттеджного поселка в с. Куртуково вблизи г. Новокузнецка","Проектом предусмотрено строительство загородного коттеджного посёлка вблизи с. Куртуково из 110 домов под черновую отделку площадью 120-215 квадратных метров с земельным участком 10-20 соток, а также отведение еще 17 земельных участков такой же площади под самостоятельную застройку","с. Куртуково","","Строительство",160,53.643823741576604,87.21405118703842,""
"Строительство I очереди освоения участка ""Иганинский 2""","На участке недр ""Иганинский 2"" планируется добывать угли марки ""Д"" открытым способом. Начало добычных работ запланировано на 2020 год.","с. Мохово, Беловский р-он, Кемеровсксая обл.","","Добыча полезных ископаемых",8500,54.609857319005776,86.43477022647858,""
"Реконструкция завода по производству строительных материалов","Цель проекта: запуск линии по производству железобетонных изделий по системе полносборного каркаса, что позволит применять архитектурно-планировочные решения, направленные на реализацию любых творческие замыслов по архитектурному и декоративному оформлению зданий.
Запуск линии позволит применить архитектурно-планировочные решения, которые дадут возможность реализовать любые творческие замыслы по архитектурному и декоративному оформлению зданий. Кроме того, помещение подвала здания позволит использовать внутреннее пространство для возможного размещения встроенных помещений: стоянок автомобилей, офисов, магазинов и других объектов социльно-бытового и культурного назначения.","г. Полысаево, ул. Крупской, 5","","Строительство",150,54.594495,86.286352,""
